id;Ordem_de_produção;Data_da_ordem_de_produção;Produto;Comprimento_unit;Largura_unit;Altura_unit;Peso_unit;Peças;Caixa_padrão;Loja;Classe_de_onda;Tipo_de_buffer;Item_pai;Cor;Tamanho;Inner;Rota;Capacidade;pai_cor;chave_loja_buffer_onda;Volume_unit;Volume_total;Peso_total;item_loja;Pecas_alocadas;Amt_in_bin;bin_index
37130;1639;2023-11-07;739252193;400;394;55;0.333;6;CARTON_M;31;3;EN;216;379.0;13;1;10;27200000000.0;216_379.0;31_EN_3;8668000;52008000;1.9980000000000002;1057;6;11;2
37132;1639;2023-11-07;624636218;480;300;50;0.48;2;CARTON_M;31;3;EN;216;4.0;5;1;10;27200000000.0;216_4.0;31_EN_3;7200000;14400000;0.96;1059;2;11;2
37155;1370;2023-11-07;627612772;418;268;27;0.22;1;CARTON_M;31;3;EN;519;9.0;5;1;10;27200000000.0;519_9.0;31_EN_3;3024648;3024648;0.22;1082;1;11;2
34204;761;2023-10-31;864661421;429;281;19;0.15;2;CARTON_M;33;3;EN;1252;640.0;1;1;1;inf;1252_640.0;33_EN_3;2290431;4580862;0.3;918;2;20;3
34201;761;2023-10-31;547520173;446;329;22;0.207;1;CARTON_M;33;3;EN;1252;3.0;3;1;1;inf;1252_3.0;33_EN_3;3228148;3228148;0.207;915;1;20;3
34202;761;2023-10-31;547520181;476;344;15;0.213;1;CARTON_M;33;3;EN;1252;3.0;5;1;1;inf;1252_3.0;33_EN_3;2456160;2456160;0.213;916;1;20;3
34203;761;2023-10-31;557880308;449;180;15;0.156;1;CARTON_M;33;3;EN;1252;434.0;13;1;1;inf;1252_434.0;33_EN_3;1212300;1212300;0.156;917;1;20;3
37231;68;2023-11-07;843672964;503;377;31;0.253;8;CARTON_M;33;3;EN;353;4.0;5;1;1;inf;353_4.0;33_EN_3;5878561;47028488;2.024;981;8;20;3
37221;325;2023-11-07;879746777;481;278;18;0.2;7;CARTON_M;33;3;EN;353;158.0;3;1;1;inf;353_158.0;33_EN_3;2406924;16848468;1.4000000000000001;971;7;20;3
656;444;2023-11-03;542140446;422;216;23;0.187;12;CARTON_M;3;9;CX;135;3.0;5;1;5;27200000000.0;135_3.0;3_CX_9;2096496;25157952;2.2439999999999998;14;12;53;4
654;444;2023-11-03;542140497;300;227;21;0.23;17;CARTON_M;3;9;CX;135;10.0;1;1;5;27200000000.0;135_10.0;3_CX_9;1430100;24311700;3.91;12;17;53;4
652;444;2023-11-03;542140489;300;247;21;0.22;7;CARTON_M;3;9;CX;135;10.0;5;1;5;27200000000.0;135_10.0;3_CX_9;1556100;10892700;1.54;10;7;53;4
653;444;2023-11-03;542140500;300;295;19;0.153;6;CARTON_M;3;9;CX;135;10.0;6;1;5;27200000000.0;135_10.0;3_CX_9;1681500;10089000;0.9179999999999999;11;6;53;4
655;444;2023-11-03;542140454;300;237;32;0.23;4;CARTON_M;3;9;CX;135;3.0;1;1;5;27200000000.0;135_3.0;3_CX_9;2275200;9100800;0.92;13;4;53;4
657;444;2023-11-03;542140438;420;201;21;0.18;2;CARTON_M;3;9;CX;135;3.0;3;1;5;27200000000.0;135_3.0;3_CX_9;1772820;3545640;0.36;15;2;53;4
20297_1;10965;2023-11-11;884448011;127;104;15;0.033;1;CARTON_M;3;9;CX;2934;41.0;12;1;5;27200000000.0;2934_41.0;3_CX_9;198120;198120;0.099;410;1;53;4
23795_1;6237;2023-11-13;884454120;80;24;8;0.04;4;CARTON_M;3;9;CX;2250;18.0;12;1;5;27200000000.0;2250_18.0;3_CX_9;15360;61440;0.48;603;4;53;4
660;444;2023-11-03;542140542;300;240;22;0.24;2;CARTON_M;3;9;CX;135;74.0;6;1;5;27200000000.0;135_74.0;3_CX_9;1584000;3168000;0.48;18;2;57;5
661;3437;2023-11-03;542140526;300;267;22;0.22;1;CARTON_M;3;9;CX;135;74.0;5;1;5;27200000000.0;135_74.0;3_CX_9;1762200;1762200;0.22;19;1;57;5
658;444;2023-11-03;542140462;300;295;19;0.153;1;CARTON_M;3;9;CX;135;3.0;6;1;5;27200000000.0;135_3.0;3_CX_9;1681500;1681500;0.153;16;1;57;5
659;3437;2023-11-03;542140542;300;240;22;0.24;1;CARTON_M;3;9;CX;135;74.0;6;1;5;27200000000.0;135_74.0;3_CX_9;1584000;1584000;0.24;17;1;57;5
6061_1;1781;2023-11-07;841256123;264;113;47;0.12;19;CARTON_M;3;9;CX;1861;54.0;12;1;5;27200000000.0;1861_54.0;3_CX_9;1402104;26639976;9.12;245;19;57;5
